,descricao,estado,envelhecimento,alcool,marca,madeira,grupo,madeira,tipo,volume,preco
10,"A cachaça Claudionor é um blend de várias cachaças daquela região de Januária/MG. Uma estandardização alquimista e perfeita para os paladares espartanos, para guerreiros que já cruzam décadas bebendo desta fonte da alegria.   Com 48% de teor alcoólico, essa cachaça não é de fato para amadores. Ela já requer uma degustação mais apurada e sofisticada. Chegando a graduar seu apreciador com o título de grande mestre degustador. É uma delícia quando se atinge esse nível de paladar, onde você pode pairar sobre todas as outras cachaças, trabalhando seu gosto na alquimia. Seu corpo passa a ser um laboratório e tudo que vier depois de Claudionor você terá pleno controle referencial para avaliar cada gotícula que sentir na língua, cada vapor de cheiro nas narinas, cada fóton de luz que essa bebida refletir lhe dirá mais do que qualquer outra. Claudionor é o seu diploma de entendedor de cachaça. Aprecie, modere e analise com afinco como suas reações se tornaram mais enfatizadas depois de apreciar essa bebida.",Minas Gerais,1 ano,48% Vol.,Claudionor,Umburana,Cachaça,Umburana,Não,600 ml,"R$34,90"
11,"A cachaça Havana é a mais famosa cachaça do Brasil. Uma das precursora da valorização da cachaça artesanal no mundo.   Criada em Salinas/MG, foi ela quem puxou a fama para a capital mineira da cachaça. Seu produtor, o senhor Anísio Santiago, foi quem lhe concedeu tamanho respeito. Isso porque é uma das cachaças mais caras do Brasil, chegando a custar o preço de um salário mínimo. E se deu com a lenda que diz que o senhor Anísio pagava seus funcionários com a cachaça e eles a vendiam caro. Mas seus dez anos de envelhecimento no bálsamo também conferem a ela estimado valor. Tomar a bebida Havana é como amar e ser correspondido. É aceitar a si mesmo no presente independente das circunstâncias. É dirigir pela primeira vez, é voar pela primeira vez, é ver o mar pela primeira vez. Sempre ficará marcado em sua lembrança este momento. Com 47% de teor alcoólico, ela lhe trará uma sensação contrária do que se pensa. Não queimará sua gartanta, ao contrário, sensores nunca antes ativados lhe mostrarão que a vida realmente é coberta de surpresas. Dizem que o rio nunca mais será o mesmo se tocado uma vez. A cachaça em geral nunca mais será a mesma depois de se degustar Havana. Não cabe palavras para descrever, é preciso sentir. É como querer definir o amor.",Minas Gerais,10 anos,47% Vol.,Havana,Bálsamo,Cachaça,Bálsamo,Não,600 ml,"R$434,95"
12,"A cachaça Anísio Santíago é produzida na Fazenda Havana. Onde se encontra também a famosa cachaça Havana.   Uma das mais populares cachaças do Brasil e do mundo.  Desde meados do século passado a fazenda Havana produz a cachaça mais desejada da nação. Tanto pela curiosidade por conta da fama quanto pelo sabor único e maciez na hora da descida na garganta. Ela é forte em teor alcoólico mas suave na hora de tomar. Esse é o grande segredo da boa cachaça mineira. Seu sabor é autêntico e indescritível, é preciso degustar essa preciosidade para poder sentir o quão diferente é essa cachaça. Produzida numa das cidades mais famosa de Minas Gerais, Salinas. Berço da cachaça mineira.  A cachaça Anísio leva o nome do seu criador. Por determinado período, devido a um processo judicial pela patente do nome, uma empresa cubana resolve revindicar o uso exclusivo do nome Havana. Mas a justiça concedeu o direito ao senhor Anísio Santiago. E sua cachaça voltou a ser chamada de Havana. Mas a versão Anísio Santiago ainda permanece no mercado. Há quem diz que a cachaça é cara porque o senhor Anísio pagava seus funcionários com a garrafa e eles vendiam caro. Mas os 10 anos de envelhecimento no bálsamo são também os responsáveis por essa fama. Com uma receita única, o gosto diferenciado desta cachaça lhe faz querer mais e mais a cada gole. É uma cachaça utilizada em grandes encontros políticos, festeiros, familiares e amigáveis. Essa cachaça é símbolo de estabilidade, confiança e qualidade. Além de ser uma relíquia como uma das primeiras cachaças do Brasil a ter fama mundial.",Minas Gerais,10 anos,"44,8% Vol.",Anísio Santiago,Bálsamo,Cachaça,Bálsamo,Não,600 ml,"R$328,95"
13,"A Cachaça Germana é produzida na cidade de Nova União/MG. Envelhecida 2 anos no barril de carvalho, com 40,5% de teor alcoólico.   Com nome de santa curandeira, a cachaça traz em sua estrutura várias histórias de mulheres guerreiras. A começar pela senhora, cujo o nome resolvemos resguardar, que coloca a palha de bananeira na garrafa, uma por uma, há anos. Até hoje. O amor pela marca e pela cachaça faz com que essa senhora trabalhe com afinco e dedicação. O nome Geramana, como mencionamos, é uma homenagem a uma figura mística daqui de Minas que fazia remédios curandeiros. A cachaça em Minas é tida em muitos lugarejos como remédio. Serve pra curar febre, pra curar resfriado, cura paixão, cura dor de cabeça, homem desnutrido e cachaceiro. Há quem diga que água morro abaixo, fogo morro acima e cachaceiro com dinheiro querendo beber, ninguém segura. A cachaça Germana é responsável por grande fama que a cachaça artesanal tem hoje no Brasil. Eleita em vários concursos com uma das melhoras cachaças artesanais do Brasil. A família Caetano, que são os produtores, estão há anos aprimorando seus equipamentos e sua forma de interajir com a população que ainda não conhece a ""danada"". Beber cachaça é praticamente um ritual para essa tão nobre tradicional família. Tudo começa com o visual. É preciso balançar a cachaça no copo para ver o seu choro escorrendo nas laterias, é preciso respirar fundo para sentir o bálsamo sem ardor, é preciso encostar os lábios e esfregá-lo para sentir a textura, é preciso beber e segurar na língua para saborear e depois mandar pra dentro. É um jeito erudito de se apreciar a boa cachaça mineira. Experimente Germana e lembre-se do elo que existe entre todos que a produzem e você.",Minas Gerais,2 anos,"40,5% Vol.",Germana,Carvalho,Cachaça,Carvalho,Não,670 ml,"R$51,95"
14,Cachaça Germana 50ml,Minas Gerais,2 anos,"40,5% Vol.",Germana,Carvalho,Cachaça,Carvalho,Não,50 ml,"R$13,90"
15,"A cachaça Chico Mineiro é produzida em Abaeté/MG. Com dois anos e meio de envelhecimento no carvalho e 44% de teor alcoólico.   A história do Chico Mineiro na música é triste. Se você não conhece essa canção sugerimos que digite no google ""Música Chico Mineiro"" e ouça. Mas a cachaça veio para alegrar até nos momentos mais infelizes de nossas vidas. A cachaça é para momentos, isso engloba tudo, alegrias, incertezas, dúvidas, tristezas e etc. Vale para toda hora, o importante é esperar que ela crie um hormônio contrário ao que se sente ou que aumente o que se sente, o apreciador é quem decide. Vale ressaltar que imaginamos que muitos querem traduzir a triste história em um líquido, beber Chico Mineiro é beber a história dos peõs boiadeiros que tanto labutam no setor primário. É beber o galope, a vida, o berrante e as noites de lua cheia. É beber a primeira arte a surgir na história da humanidade, música. Chico Mineiro é música, com notas precisas de carvalho e cana de açúcar, com doçura e beleza melódica. Não se toma em silêncio, é preciso solfejar, é preciso cantar e cantar e cantar. Viva Chico Mineiro.",Minas Gerais,"2,5 anos",44% Vol.,Chico Mineiro,Carvalho,Cachaça,Carvalho,Não,700 ml,"R$47,95"
16,"CACHAÇA CHICO MINEIRO, de excelente qualidade,  vem agora homenagear o lendário e folclórico peão de Boiadeiro. Cachaça Chico Mineiro. Quem sabe, toma. A cachaça Chico Mineiro é uma das mais tradicionais e consagradas cachaças artesanais de Minas. Sempre uma excelente opção de presente. Não deixe de ter em sua adega a cachaça Chico Mineiro.",Minas Gerais,"2,5 anos",42% Vol.,Chico Mineiro,Carvalho,Cachaça,Carvalho,Não,160 ml,"R$45,90"
17,"A cachaça Perseguida é produzida no Estado de Minas Gerais a região  tem a fama de produzir cachaças  especiais. Essa verdade merece  reforço: a região tem  condições especialmente propícias  ao plantio e cultivo da cana de açúcar.  A cana é cortada de modo  e em tempos corretos sem o uso de queimadas, coisas que só o mineiro, criado e nascido na roça consegue fazer bem feito. O processo de fermentação é natural, sendo o fermento á base de fubá de milho, especialmente preparado. Daí o segredo para definir o sabor da legítima cachaça mineira.",Minas Gerais,Não,44% Vol.,Perseguida,Bálsamo e Carvalho,Cachaça,Carvalho e Bálsamo,Não,670 ml,"R$28,90"
18,"A cachaça leva o nome da cidade mineira Boa Esperança. É envelhecida aproxidamente por 2 anos em barris de carvalho e tem 42% de teor alcoólico.   A serra da Boa Esperança era onde garimpeiros buscavam ouro no século 18. Ouro esse que foi convertido nos tempos de hoje em cachaça. Essa cachaça que apresentamos. Você pode subir essa serra para garimpar um sabor histórico que já somam dois séculos. O sonho da alquimia, o sabor da serra introjetada em forma de aguardente. A pureza das águas alcalinas de fontes naturais com a essência do suco da cana de açúcar fermentado e destilado. O resultado desta receita é uma cachaça envelhecida sob medida para os mais apurados paladares. Beber a Boa Esperança é resgatar a história daquela região, é mover montanhas com a esperança e a fé de que ainda existe excelência na fabricação da mais antiga cultura brasileira, a cachaça.",Minas Gerais,Não,42% Vol.,Da Boa,Carvalho,Cachaça,Carvalho,Não,700 ml,"R$35,88"
19,"Morro da Garça, sertão mineiro. Para os apreciadores que gostam da cultura mineira eis uma cachaça que representa a essência de Minas Gerais em seu paladar.   Prosa significa conversa fiada, jogar conversa fora, sentar na varanda de casa ao entardecer e contemplar o firmamento, a vida, as pessoas passando pra lá e pra cá. Em Minas e em várias cidades do Brasil é comum essa cena. Mas em Minas ainda temos algums elementos que complementam esse costume, muitas vezes uma cachacinha está presente e quando a farra é boa, chega sempre um com uma viola para tocar cantigas regionais. Daí surgiu esse produto chamado Prosa e VIola. Contar histórias, cantar, observar e degustar, assim se termina o dia em vários municípios de Minas Gerais.  E para acompanhar esse momento, nada melhor que a Prosa e Viola, uma cachaça que será uma boa companhia pra quem deseja contemplar a vida depois de um longo dia de labuta. Se puder acenda a fogueira, se não, aconchegue-se num canto da varanda e chame algum familiar, ou alguém que parou para comprimentá-lo, ou até mesmo ligue pra amigos ou  parentes. Pergunte como o foi o dia. Se entrar, ofereça uma cachacinha, essa a qual vos apresentamos. Pegue um tira gosto e compartilhe experiências da vida. Com a prosa. E se puder, com a viola. Quando beber essa cachaça materialize um cenário verde, com árvores, estradas de terra, sítios, pessoas sentadas em suas casas contemplando a vida. E um lindo pôr do sol. Essa cachaça quer transformar esse momento numa árte líquida, degustativa. Como aqueles cheiros de infância. A flor Dama da Noite. O cheiro de terra, e o cheiro da vida serena e tranquila.",Minas Gerais,3 anos,40% Vol.,Prosa e Viola,Carvalho,Cachaça,Carvalho,Não,50 ml,"R$12,95"
20,"A cachaça Salinas é produzida na região de da capital mineira da cachaça, na cidade de Salinas/MG. Envelhecida dois anos e meio no bálsamo e com 42% de teor alcoólico.   A fama da cachaça Salinas não está ligada tão somente ao nome mas também pela sua qualidade e tradição. São anos de história e conquistas. Vencedora de inúmeros festivais, a cachaça Salinas é uma das poucas que está presente em muitos bares, adegas pessoas, restaurante e botecos espalhados por este Brasilzão todo. Beber Salinas lhe confere experiência no paladar. É saber que não se toma apenas uma simples cachaças mas um produto que é resultado de uma linha de tempo repleta de desafios, inovação, cálculos, coragem e persistência. Atingir esse nível de cachaça não é para amadores. Por pouco Salinas não se torna uma bebida sinônimo de cachaça. O nome é uma conquista de alguém da vanguarda, que previa o futuro e sabia que ao redor desta produção nasceria outras marcas, como estrelas que formam uma galáxia, sendo a Salinas o próprio Big Bang. A explosão que causou toda essa glamour a uma bebida totalmente brasileira. Beba salinas e galope nos cometas mais vibrantes deste mundo fictício que é festejar e gozar a vida.",Minas Gerais,Não,45% Vol.,Salinas,Não,Cachaça,Não,Não,50 ml,"R$9,95"
21,"Há muito o que se falar da cachaça Seleta, primeiro que ela é um produto da fazenda Seleta, que é o alambique que mais produz cachaça artesanal no Brasil. Localizada na capital mineira da cachaça, Salinas/MG.   O Sô Tonim, como é conhecido, é o dono da cachaça e uma figura muito conhecida no ramo da cachaça, homem de bom coração, foi um dos pioneiros a divulgar a cachaça artesanal para o Brasil e o mundo. A cachaça é envelhecida no barril de umburana por 2 anos. Tem um pergume único e de leveza agradável. Um produto com selo Salinas. Reza a lenda que a terra daquela região é sagrada para os produtores de cana de açúcar. Há um grande diferencial da cana plantada por lá em relação a de outras regiões do Brasil. Por isso as cachaças de Salinas são tão procuradas.  A cachaça é sagrada para muitos apreciadores. Isso está ligado com a escravidão e a triste história do seu nascimento. Por isso é uma bebida de respeito que merece amor, ternura e muito capricho em sua preparação. Para muitos é carregada de espíritos que lutaram pela liberdade, para outros, representa a força para romper com um sistema severo, e para mais, uma bebida que representa a história de uma nação. O líquido precioso que caminha de mãos dadas com a evolução deste país. As lágrimas do choro de uma nação festeira. Com esse respeito todo é que se faz essa tão apreciada cachaça. Seleta.",Minas Gerais,Não,42% Vol.,Seleta,Umburana,Cachaça,Umburana,Não,50 ml,"R$9,95"
22,"A Cachaça Sagatiba Velha é obtida pelo modo tradicional ou artesanal de produção em alambiques de cobre, em que a destilação ocorre lentamente. A cachaça Sagatiba Velha é produzida a partir de lotes limitados e exclusivos da melhores cachaças artesanais mineiras, destiladas em alambique de cobre, e envelhecidas em barris de carvalho no interior de São Paulo por um período mínimo de 2 anos. O resultado é uma cachaça excepcional: um líquido dourado, com aroma frutado e um sabor encorpado, que traduz todo o cuidado e atenção que uma cachaça merece, em seus mínimos detalhes.Premiações da cachaça Sagatiba Velha:- O Bevarage Testing Institute de Chicago, BTI, um dos mais importantes institutos de análise de bebidas do mundo, concedeu á Sagatiba Velha 93 pontos em 100, classificando-a como um destilado excepcional.",São Paulo,Não,38%  Vol.,Sagatiba,Carvalho,Cachaça,Carvalho,Não,700 ml,"R$99,90"
23,"Cachaça Sagatiba Pura - sabor, aroma e leveza nunca antes encontrados em bebidas dessa categoria. A cachaça que sua caipirinha ou coquetel quer. A Sagatiba inovou o modo de fazer cachaça, ao desenvolver o processo de multidestilação, que permite separar e controlar individualmente os diversos componentes da bebida. A mixabilidade inigualável, o alto grau de pureza e a baixa acidez são suas características mais marcantes e que dão vida a uma bebida pura, cristalina, com aroma suave e paladar delicado. Perfeita para caipirinhas, coquetéis, ou para ser tomada simplesmente pura.Premiações da cachaça Sagatiba Pura:- O Bevarage Testing Institute de Chicago, BTI, um dos mais importantes institutos de análise de bebidas do mundo, concedeu á Sagatiba Pura 93 pontos em 100, classificando-a como um destilado excepcional.",São Paulo,Não,38%  Vol.,Sagatiba,Não Envelhcida,Cachaça,Não Envelhcida,Não,700 ml,"R$63,90"
24,"A cachaça Indaiazinha é produzida na capital mineira da cachaça, na cidade de Salinas/MG. Envelhecida 8 anos no bálsamo, com 48% de teor alcoólico.   Existe uma grande diferença entre as coisas velhas e as coisas novas. A entropia que diz que tudo tende a destruição se engana quando esbarra na fabricação da cachaça. São oito anos de envelhecimento, enquanto o mundo vibrava com duas copas do mundo, lá estava ela, parada no espaço tempo, descansando, enquanto a madeira desintensificava o ardôr do álcool. Enquanto o mundo girava a cento e oito mil quilômetros ao redor do sol, lá estava ela quietinha, aguardando seu momento de ser engarrafada. Quanto tempo viajando no espaço para chegar até este momento no qual você decide se compra ou não compra uma das cachaças mais respeitada de Salinas. Você decide agora. Pense onde você estava a oito anos atrás. Isso se ela tiver sido engarrafada este ano, se não, pode ser que seja mais antiga ainda. Viajando no espaço até chegar em sua casa, no seu copo, na sua boca e na sua alma. Não deixe de experimentar essa deliciosa cachaça.",Minas Gerais,8 anos,48% Vol.,Indaiazinha,Bálsamo,Cachaça,Bálsamo,Não,600 ml,"R$158,90"
25,"A cachaça Dona Beja é produzida em Perdizes/MG. Já se vão 100 anos de produção.    Nada está de fato pronto e que é preciso a transformação para que as coisas deêm certo. O processo da qualidade tem como base o mesmo princípio da arte. Não é só ter capa, é preciso um elo substancial entre o que se vê de fora e o que se sente por dentro. É como buscar a renovação do amor não só pela beleza mas pela integridade de alguém. Apreciar essa cachaça é amar a si mesmo como ao próximo. O desejo de seu criador. A aliança entre a admiração da arte com o ego do artista. A satisfação de se ter concluído uma obra prima. Deguste, sinta, admire, contemple e se veja como resultado desta pintura, desta escultura. Você faz parte, o que seria da arte sem apreciadores?",Minas Gerais,Não,43% Vol.,Dona Beja,Não Envelhcida,Cachaça,Não Envelhcida,Não,120 ml,"R$33,90"
26,"A cachaça Guaraciaba é produzida na cidade de Guaraciaba/MG. Envelhecida 8 anos na madeira Umburana e com 38% de teor alcoólico.   Campeã de vários festivais de cachaças, inclusive em Bruxelas/Bélgica. A madeira umbuarana lembra um pouco a canela quando homogeneizada com a cachaça ainda pura. Após longo descanso, a cachaça apresenta um novo sabor adocicado e uma coloração dourada escura. Uma bebida muito saborasa para quem gosta de ir bicando igual passarinho. Existem apreciadores que gostam de tomar a marvada de uma vezada só, enquanto outros gostam de degustar tomando aos pouquinhos. Na segunda opção, tomando devagar, os efeitos sensoriais são mais observados no apogeu do prazer. Já na primeira opção, tomando rápido, tende-se a sentir o movimento de rotação da terra bem mais rápido. Guaraciaba é uma cachaça diferente e muito saborosa. Seja na temperatura ambiente ou gelada. Já experimentou cachaça gelada? Deixe a Guaraciaba no congelador por 20 minutos e depois aprecie. Cuidado, isso pode ser viciante. Vá com calma. Gostamos sempre de dizer o que se fala lá em Mariana, ""Menino guloso, pouco mingau"".",Minas Gerais,8 anos,38%  Vol.,Guaraciaba,Umburana,Cachaça,Umburana,Não,670 ml,"R$44,90"
